Day,High(°F),Low(°F),Precip.(inch),Snow(inch),Snowdepth(inch)
1 jan 2015,33.1,22.1,0.00,0.00,-
2 jan 2015,41.0,31.1,0.00,0.00,-
3 jan 2015,37.0,22.1,0.62,1.42,-
4 jan 2015,52.0,35.1,0.57,0.00,-
5 jan 2015,50.0,17.2,0.00,0.00,-
6 jan 2015,18.1,15.3,0.02,0.20,-
7 jan 2015,26.2,4.1,T,T,-
8 jan 2015,19.2,-0.8,0.00,0.00,-
9 jan 2015,30.2,19.2,0.01,0.20,-
10 jan 2015,24.3,17.2,0.00,0.00,-
11 jan 2015,33.1,15.3,0.00,0.00,-
12 jan 2015,37.9,33.1,0.20,T,-
13 jan 2015,35.1,15.3,0.00,0.00,-
14 jan 2015,25.2,14.2,T,T,-
15 jan 2015,31.1,25.2,0.12,0.79,-
16 jan 2015,37.9,15.3,0.00,0.00,-
17 jan 2015,22.1,9.1,0.00,0.00,-
18 jan 2015,51.1,20.1,0.15,0.00,-
19 jan 2015,46.0,32.0,0.00,0.00,-
20 jan 2015,39.0,27.1,0.00,0.00,-
21 jan 2015,34.0,22.1,0.00,0.00,-
22 jan 2015,37.0,29.1,T,T,-
23 jan 2015,37.0,24.3,0.00,0.00,-
24 jan 2015,34.0,31.1,0.71,5.12,-
25 jan 2015,37.9,19.2,0.00,0.00,-
26 jan 2015,29.1,11.1,0.10,2.28,-
27 jan 2015,19.2,14.2,0.95,22.09,-
28 jan 2015,24.3,13.1,0.01,0.20,-
29 jan 2015,32.0,10.2,T,T,-
30 jan 2015,34.0,19.2,0.06,0.71,-
31 jan 2015,21.2,11.1,0.05,1.30,-
1 feb 2015,30.2,12.2,0.00,0.00,-
2 feb 2015,31.1,10.2,0.78,16.18,-
3 feb 2015,22.1,6.3,0.00,0.00,-
4 feb 2015,37.9,14.2,0.01,0.00,-
5 feb 2015,36.0,7.2,0.09,0.79,-
6 feb 2015,21.2,5.2,T,T,-
7 feb 2015,29.1,16.2,0.07,0.91,-
8 feb 2015,29.1,13.1,0.37,7.40,-
9 feb 2015,25.2,14.2,0.88,14.80,-
10 feb 2015,30.2,14.2,0.05,0.71,-
11 feb 2015,25.2,14.2,0.01,0.51,-
12 feb 2015,30.2,16.2,0.03,0.98,-
13 feb 2015,22.1,7.2,0.00,0.00,-
14 feb 2015,30.2,3.2,0.23,3.19,-
15 feb 2015,20.1,-1.8,0.39,12.99,-
16 feb 2015,19.2,-2.7,0.00,0.00,-
17 feb 2015,23.2,10.2,0.02,0.59,-
18 feb 2015,29.1,17.2,0.01,T,-
19 feb 2015,30.2,10.2,0.06,2.40,-
20 feb 2015,20.1,5.2,0.00,0.00,-
21 feb 2015,34.0,4.1,0.17,1.10,-
22 feb 2015,39.0,28.2,0.11,0.12,-
23 feb 2015,33.1,4.1,0.00,0.00,0.00
24 feb 2015,19.2,2.1,T,T,-
25 feb 2015,35.1,14.2,0.07,1.89,-
26 feb 2015,22.1,17.2,0.02,0.20,-
27 feb 2015,27.1,15.3,0.00,0.00,-
28 feb 2015,31.1,12.2,0.00,0.00,-
1 mar 2015,30.2,12.2,0.17,1.89,-
2 mar 2015,37.0,26.2,0.01,0.20,-
3 mar 2015,33.1,20.1,0.26,1.61,-
4 mar 2015,43.0,33.1,0.02,0.00,-
5 mar 2015,39.0,18.1,T,T,-
6 mar 2015,24.3,9.1,0.00,0.00,0.00
7 mar 2015,37.9,17.2,0.00,0.00,-
8 mar 2015,42.1,24.3,T,T,-
9 mar 2015,48.0,26.2,0.00,0.00,-
10 mar 2015,48.0,31.1,0.06,0.00,-
11 mar 2015,57.0,37.0,0.01,0.00,-
12 mar 2015,43.0,25.2,0.00,0.00,-
13 mar 2015,39.9,24.3,0.00,0.00,-
14 mar 2015,39.0,31.1,0.80,0.00,-
15 mar 2015,41.0,27.1,0.27,2.91,-
16 mar 2015,45.0,26.2,0.00,0.00,-
17 mar 2015,51.1,28.2,0.14,T,-
18 mar 2015,30.2,22.1,0.00,0.00,-
19 mar 2015,34.0,19.2,0.00,0.00,-
20 mar 2015,32.0,23.2,0.05,0.51,-
21 mar 2015,41.0,28.2,0.09,1.18,-
22 mar 2015,39.0,21.2,0.00,0.00,-
23 mar 2015,33.1,18.1,0.00,0.00,-
24 mar 2015,35.1,20.1,0.00,0.00,-
25 mar 2015,48.9,28.2,0.04,0.00,-
26 mar 2015,55.9,37.9,0.80,0.00,-
27 mar 2015,44.1,37.0,0.21,0.00,-
28 mar 2015,39.9,30.2,0.12,0.31,-
29 mar 2015,42.1,26.2,0.00,0.00,-
30 mar 2015,45.0,30.2,T,T,-
31 mar 2015,50.0,37.0,0.00,0.00,-
