day,high_f,low_f,precip_in,snow_in,snowdepth_in
2015-01-01,33.1,22.1,0.0,0.0,
2015-01-02,41.0,31.1,0.0,0.0,
2015-01-03,37.0,22.1,0.62,1.42,
2015-01-04,52.0,35.1,0.57,0.0,
2015-01-05,50.0,17.2,0.0,0.0,
2015-01-06,18.1,15.3,0.02,0.2,
2015-01-07,26.2,4.1,,,
2015-01-08,19.2,-0.8,0.0,0.0,
2015-01-09,30.2,19.2,0.01,0.2,
2015-01-10,24.3,17.2,0.0,0.0,
2015-01-11,33.1,15.3,0.0,0.0,
2015-01-12,37.9,33.1,0.2,,
2015-01-13,35.1,15.3,0.0,0.0,
2015-01-14,25.2,14.2,,,
2015-01-15,31.1,25.2,0.12,0.79,
2015-01-16,37.9,15.3,0.0,0.0,
2015-01-17,22.1,9.1,0.0,0.0,
2015-01-18,51.1,20.1,0.15,0.0,
2015-01-19,46.0,32.0,0.0,0.0,
2015-01-20,39.0,27.1,0.0,0.0,
2015-01-21,34.0,22.1,0.0,0.0,
2015-01-22,37.0,29.1,,,
2015-01-23,37.0,24.3,0.0,0.0,
2015-01-24,34.0,31.1,0.71,5.12,
2015-01-25,37.9,19.2,0.0,0.0,
2015-01-26,29.1,11.1,0.1,2.28,
2015-01-27,19.2,14.2,0.95,22.09,
2015-01-28,24.3,13.1,0.01,0.2,
2015-01-29,32.0,10.2,,,
2015-01-30,34.0,19.2,0.06,0.71,
2015-01-31,21.2,11.1,0.05,1.3,
2015-02-01,30.2,12.2,0.0,0.0,
2015-02-02,31.1,10.2,0.78,16.18,
2015-02-03,22.1,6.3,0.0,0.0,
2015-02-04,37.9,14.2,0.01,0.0,
2015-02-05,36.0,7.2,0.09,0.79,
2015-02-06,21.2,5.2,,,
2015-02-07,29.1,16.2,0.07,0.91,
2015-02-08,29.1,13.1,0.37,7.4,
2015-02-09,25.2,14.2,0.88,14.8,
2015-02-10,30.2,14.2,0.05,0.71,
2015-02-11,25.2,14.2,0.01,0.51,
2015-02-12,30.2,16.2,0.03,0.98,
2015-02-13,22.1,7.2,0.0,0.0,
2015-02-14,30.2,3.2,0.23,3.19,
2015-02-15,20.1,-1.8,0.39,12.99,
2015-02-16,19.2,-2.7,0.0,0.0,
2015-02-17,23.2,10.2,0.02,0.59,
2015-02-18,29.1,17.2,0.01,,
2015-02-19,30.2,10.2,0.06,2.4,
2015-02-20,20.1,5.2,0.0,0.0,
2015-02-21,34.0,4.1,0.17,1.1,
2015-02-22,39.0,28.2,0.11,0.12,
2015-02-23,33.1,4.1,0.0,0.0,0.0
2015-02-24,19.2,2.1,,,
2015-02-25,35.1,14.2,0.07,1.89,
2015-02-26,22.1,17.2,0.02,0.2,
2015-02-27,27.1,15.3,0.0,0.0,
2015-02-28,31.1,12.2,0.0,0.0,
2015-03-01,30.2,12.2,0.17,1.89,
2015-03-02,37.0,26.2,0.01,0.2,
2015-03-03,33.1,20.1,0.26,1.61,
2015-03-04,43.0,33.1,0.02,0.0,
2015-03-05,39.0,18.1,,,
2015-03-06,24.3,9.1,0.0,0.0,0.0
2015-03-07,37.9,17.2,0.0,0.0,
2015-03-08,42.1,24.3,,,
2015-03-09,48.0,26.2,0.0,0.0,
2015-03-10,48.0,31.1,0.06,0.0,
2015-03-11,57.0,37.0,0.01,0.0,
2015-03-12,43.0,25.2,0.0,0.0,
2015-03-13,39.9,24.3,0.0,0.0,
2015-03-14,39.0,31.1,0.8,0.0,
2015-03-15,41.0,27.1,0.27,2.91,
2015-03-16,45.0,26.2,0.0,0.0,
2015-03-17,51.1,28.2,0.14,,
2015-03-18,30.2,22.1,0.0,0.0,
2015-03-19,34.0,19.2,0.0,0.0,
2015-03-20,32.0,23.2,0.05,0.51,
2015-03-21,41.0,28.2,0.09,1.18,
2015-03-22,39.0,21.2,0.0,0.0,
2015-03-23,33.1,18.1,0.0,0.0,
2015-03-24,35.1,20.1,0.0,0.0,
2015-03-25,48.9,28.2,0.04,0.0,
2015-03-26,55.9,37.9,0.8,0.0,
2015-03-27,44.1,37.0,0.21,0.0,
2015-03-28,39.9,30.2,0.12,0.31,
2015-03-29,42.1,26.2,0.0,0.0,
2015-03-30,45.0,30.2,,,
2015-03-31,50.0,37.0,0.0,0.0,
2015-04-01,46.9,30.2,0.0,0.0,
2015-04-02,61.0,30.2,0.0,0.0,
2015-04-03,59.0,45.0,0.03,0.0,
2015-04-04,52.0,36.0,0.39,0.0,
2015-04-05,48.9,32.0,0.0,0.0,
2015-04-06,42.1,36.0,0.0,0.0,
