INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,SHOOTING_FLAG,Lat_Clean,Long_Clean,Lat_Missing_Flag,Long_Missing_Flag,TIME_OF_DAY,IS_WEEKEND,CRIME_SEVERITY,SEASON,QUARTER,DAY_NUMBER,OFFENSE_CATEGORY,HIGH_RISK_HOUR,DISTRICT_Index,TIME_OF_DAY_Index,SEASON_Index,OFFENSE_CATEGORY_Index,UCR_PART_Index
I182007254,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,448,Y,2018-01-28T01:23:00.000-05:00,2018,1,Sunday,1,Part One,MILLET ST,42.29368748,-71.07692422,1,42.29368748,-71.07692422,0,0,Night,1,3,Winter,1,7,Violent,1,2.0,0.0,3.0,3.0,2.0
I162086460,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,444,Y,2016-10-22T00:52:00.000-04:00,2016,10,Saturday,0,Part One,ABBOT ST,42.29686162,-71.08584183,1,42.29686162,-71.08584183,0,0,Night,1,3,Fall,4,6,Violent,1,2.0,0.0,2.0,3.0,2.0
I182003609,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,903,Y,2018-01-14T10:57:00.000-05:00,2018,1,Sunday,10,Part One,SHAWMUT AVE,42.33543394,-71.08076738,1,42.33543394,-71.08076738,0,0,Morning,1,3,Winter,1,7,Violent,0,3.0,3.0,3.0,3.0,2.0
I172081805,3114,Investigate Property,INVESTIGATE PROPERTY,D4,"",,2017-09-30T10:00:00.000-04:00,2017,9,Saturday,10,Part Three,COLUMBUS AVE,,,0,42.18246397604247,-70.85870749757449,1,1,Morning,1,1,Fall,3,6,Other,0,3.0,3.0,2.0,0.0,0.0
I162027890,3410,Towed,TOWED MOTOR VEHICLE,B2,"",,2016-04-11T02:58:00.000-04:00,2016,4,Monday,2,Part Three,UNKNOWN,,,0,42.18246397604247,-70.85870749757449,1,1,Night,0,1,Spring,2,1,Other,1,0.0,0.0,1.0,0.0,0.0
I172031593,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B3,435,,2017-04-23T13:03:00.000-04:00,2017,4,Sunday,13,Part Three,TORREY ST,42.28696842,-71.07510066,0,42.28696842,-71.07510066,0,0,Afternoon,1,1,Spring,2,7,Traffic,0,2.0,2.0,1.0,2.0,0.0
I182013947,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,B2,328,,2018-02-22T07:53:00.000-05:00,2018,2,Thursday,7,Part Two,GREENHEYS ST,42.31150724,-71.07466948,0,42.31150724,-71.07466948,0,0,Morning,0,2,Winter,1,4,Other,0,0.0,3.0,3.0,0.0,1.0
I162063500,616,Larceny,LARCENY THEFT OF BICYCLE,B2,316,,2016-08-07T18:28:00.000-04:00,2016,8,Sunday,18,Part One,WALNUT AVE,42.31681126,-71.09283155,0,42.31681126,-71.09283155,0,0,Evening,1,3,Summer,3,7,Property,0,0.0,1.0,0.0,1.0,2.0
I182055475,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,E18,523,,2018-07-14T15:48:00.000-04:00,2018,7,Saturday,15,Part Three,HYDE PARK AVE,42.24260011,-71.13035022,0,42.24260011,-71.13035022,0,0,Afternoon,1,1,Summer,3,6,Traffic,0,7.0,2.0,0.0,2.0,0.0
I172086814,3115,Investigate Person,INVESTIGATE PERSON,B3,455,,2017-10-17T21:00:00.000-04:00,2017,10,Tuesday,21,Part Three,NORWELL ST,42.30132851,-71.07870873,0,42.30132851,-71.07870873,0,0,Night,0,1,Fall,4,2,Other,0,2.0,0.0,2.0,0.0,0.0
