INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182032558,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,179,,2018-05-01 08:52:00,2018,5,Tuesday,8,Part Three,GERARD ST,42.33062755,-71.07210653,"(42.33062755, -71.07210653)"
I152102923,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,170,,2015-12-13 17:07:00,2015,12,Sunday,17,Part One,MASSACHUSETTS AVE,42.33562126,-71.07582361,"(42.33562126, -71.07582361)"
I172098993,1402,Vandalism,VANDALISM,C11,357,,2017-11-28 22:49:00,2017,11,Tuesday,22,Part Two,WESTVILLE ST,42.30010597,-71.0710271,"(42.30010597, -71.07102710)"
I182069871,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,319,,2018-08-31 08:22:06,2018,8,Friday,8,Part Two,SEAVER ST,42.30603974,-71.0862124,"(42.30603974, -71.08621240)"
I152049968,3301,Verbal Disputes,VERBAL DISPUTE,D14,939,,2015-06-16 17:25:00,2015,6,Tuesday,17,Part Three,FANEUIL ST,42.35555336,-71.15274721,"(42.35555336, -71.15274721)"
I172078196,2647,Other,THREATS TO DO BODILY HARM,B2,319,,2017-09-19 17:00:00,2017,9,Tuesday,17,Part Two,WAYNE ST,42.3072423,-71.08551704,"(42.30724230, -71.08551704)"
I162005612,3201,Property Lost,PROPERTY - LOST,C6,175,,2016-01-20 15:30:00,2016,1,Wednesday,15,Part Three,SOUTHAMPTON ST,42.3309164,-71.06415106,"(42.33091640, -71.06415106)"
I162052917,3207,Property Found,PROPERTY - FOUND,A1,109,,2016-07-04 00:59:00,2016,7,Monday,0,Part Three,FRANKLIN ST,42.35633324,-71.05440282,"(42.35633324, -71.05440282)"
I182035097,2905,Violations,VAL - OPERATING WITHOUT LICENSE,C11,235,,2018-05-09 10:13:00,2018,5,Wednesday,10,Part Two,BUTTONWOOD ST,42.3198696,-71.05582786,"(42.31986960, -71.05582786)"
I172048930,542,Commercial Burglary,BURGLARY - COMMERICAL - NO FORCE,D14,803,,2017-06-19 03:57:00,2017,6,Monday,3,Part One,BRAINTREE ST,42.35631415,-71.13567792,"(42.35631415, -71.13567792)"
I182028293,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,797,,2018-04-15 21:48:00,2018,4,Sunday,21,Part Three,COMMONWEALTH AVE,42.35170571,-71.11989956,"(42.35170571, -71.11989956)"
I172051061,619,Larceny,LARCENY ALL OTHERS,D14,804,,2017-06-25 17:03:00,2017,6,Sunday,17,Part One,HICHBORN ST,42.35558007,-71.14378251,"(42.35558007, -71.14378251)"
I152085307,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,347,,2015-10-14 01:11:00,2015,10,Wednesday,1,Part Three,LYON ST,42.30638323,-71.06021218,"(42.30638323, -71.06021218)"
I162101024,724,Auto Theft,AUTO THEFT,D4, ,,2016-12-10 20:00:00,2016,12,Saturday,20,Part One,,,,"(0.00000000, 0.00000000)"
I172071907,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,508,,2017-08-29 22:00:00,2017,8,Tuesday,22,Part One,WACHUSETT ST,42.29438065,-71.11573641,"(42.29438065, -71.11573641)"
I152052784,3160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",B3,465,,2015-06-26 04:46:00,2015,6,Friday,4,Part Three,BAIRD ST,42.28555729,-71.0911249,"(42.28555729, -71.09112490)"
I162009038,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,918,,2016-02-02 01:00:00,2016,2,Tuesday,1,Part Three,DAWES ST,42.31814671,-71.06075377,"(42.31814671, -71.06075377)"
I162089196,2905,Violations,VAL - OPERATING WITHOUT LICENSE,A1,118,,2016-10-31 17:17:00,2016,10,Monday,17,Part Two,CHARLES ST S,42.35094628,-71.06685604,"(42.35094628, -71.06685604)"
I172087028,2629,Harassment,HARASSMENT,E18,498,,2017-10-18 16:17:00,2017,10,Wednesday,16,Part Two,HYDE PARK AVE,42.27380942,-71.11996035,"(42.27380942, -71.11996035)"
I172075974,2647,Other,THREATS TO DO BODILY HARM,A1,117,,2017-09-13 05:30:00,2017,9,Wednesday,5,Part Two,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)"
I162025251,3125,Warrant Arrests,WARRANT ARREST,A1,102,,2016-04-01 16:46:00,2016,4,Friday,16,Part Three,TREMONT ST,42.356585,-71.06189505,"(42.35658500, -71.06189505)"
I162053652,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,130,,2016-07-06 10:01:00,2016,7,Wednesday,10,Part Two,HUNTINGTON AVE,42.34852918,-71.07805107,"(42.34852918, -71.07805107)"
I162002346,3114,Investigate Property,INVESTIGATE PROPERTY,B3,450,,2016-01-09 09:45:00,2016,1,Saturday,9,Part Three,ROSEDALE ST,42.29244178,-71.07320696,"(42.29244178, -71.07320696)"
I182030279,3805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,C6,175,,2018-04-23 10:40:00,2018,4,Monday,10,Part Three,GIBSON ST,42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
I182030814,3114,Investigate Property,INVESTIGATE PROPERTY,B2,262,,2018-04-24 23:06:00,2018,4,Tuesday,23,Part Three,BLUE HILL AVE,42.32094361,-71.07761042,"(42.32094361, -71.07761042)"
I182069394,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,636,,2018-08-29 16:37:00,2018,8,Wednesday,16,Part Three,CENTRE ST,42.31949472,-71.11161967,"(42.31949472, -71.11161967)"
I172014913,423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,130,,2017-02-23 22:50:00,2017,2,Thursday,22,Part One,HUNTINGTON AVE,42.34749899,-71.07925506,"(42.34749899, -71.07925506)"
I172103194,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2017-12-13 15:41:00,2017,12,Wednesday,15,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I162057632,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,474,,2016-07-19 18:58:00,2016,7,Tuesday,18,Part Two,ITASCA ST,42.27246009,-71.10352421,"(42.27246009, -71.10352421)"
I172000115,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,294,,2017-01-01 09:22:00,2017,1,Sunday,9,Part Three,SAINT JAMES ST,42.32703627,-71.08687838,"(42.32703627, -71.08687838)"
I162082506,613,Larceny,LARCENY SHOPLIFTING,D4,138,,2016-10-08 14:00:00,2016,10,Saturday,14,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182049240,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,318,,2018-06-23 22:36:00,2018,6,Saturday,22,Part Three,HUTCHINGS ST,42.31026891,-71.08931055,"(42.31026891, -71.08931055)"
I182048833,3115,Investigate Person,INVESTIGATE PERSON,B3,464,,2018-06-22 15:09:00,2018,6,Friday,15,Part Three,BROOKVIEW ST,42.2887411,-71.09117797,"(42.28874110, -71.09117797)"
I182010917,3410,Towed,TOWED MOTOR VEHICLE,D14,760,,2018-02-10 17:13:00,2018,2,Saturday,17,Part Three,FAIRBANKS ST,42.35071344,-71.16296497,"(42.35071344, -71.16296497)"
I162026687,3810,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING  BICYCLE - INJURY,E13,645,,2016-04-06 18:20:00,2016,4,Wednesday,18,Part Three,CENTRE ST,42.31265126,-71.11414509,"(42.31265126, -71.11414509)"
